danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.731,0.368,8,-10.38,1,0.0688,0.00544,0,0.193,0.512,145.171,audio_features,1lih9AUGlOI2qbAkptdBsr,spotify:track:1lih9AUGlOI2qbAkptdBsr,https://api.spotify.com/v1/tracks/1lih9AUGlOI2qbAkptdBsr,https://api.spotify.com/v1/audio-analysis/1lih9AUGlOI2qbAkptdBsr,265333,4,RnB,I'm N Luv (Wit a Stripper) (feat. Mike Jones),,
0.733,0.744,1,-3.51,1,0.0553,0.0772,0,0.341,0.529,185.03,audio_features,4liGjmhCupa7RP9JaQELYx,spotify:track:4liGjmhCupa7RP9JaQELYx,https://api.spotify.com/v1/tracks/4liGjmhCupa7RP9JaQELYx,https://api.spotify.com/v1/audio-analysis/4liGjmhCupa7RP9JaQELYx,241133,4,RnB,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",,
0.798,0.443,2,-6.062,1,0.0403,0.244,0,0.326,0.354,125.232,audio_features,7I6DceMT3utDOHjcYCbrr4,spotify:track:7I6DceMT3utDOHjcYCbrr4,https://api.spotify.com/v1/tracks/7I6DceMT3utDOHjcYCbrr4,https://api.spotify.com/v1/audio-analysis/7I6DceMT3utDOHjcYCbrr4,293053,4,RnB,Don't Matter,,
0.607,0.854,8,-4.867,0,0.166,0.0683,0,0.2,0.507,149.872,audio_features,1J36RjF8Mx8Yp2QWvFSPmv,spotify:track:1J36RjF8Mx8Yp2QWvFSPmv,https://api.spotify.com/v1/tracks/1J36RjF8Mx8Yp2QWvFSPmv,https://api.spotify.com/v1/audio-analysis/1J36RjF8Mx8Yp2QWvFSPmv,235159,4,RnB,Heart Attack,,
0.711,0.753,4,-6.461,0,0.0766,0.028,2.96E-05,0.152,0.588,126.051,audio_features,2XbfY2O2v3xwedUJ0J2kkr,spotify:track:2XbfY2O2v3xwedUJ0J2kkr,https://api.spotify.com/v1/tracks/2XbfY2O2v3xwedUJ0J2kkr,https://api.spotify.com/v1/audio-analysis/2XbfY2O2v3xwedUJ0J2kkr,234360,4,RnB,Closer,,
0.401,0.682,4,-5.66,0,0.137,0.0765,0,0.0779,0.259,158.014,audio_features,6RlehUBvagbFzhADlLh5W3,spotify:track:6RlehUBvagbFzhADlLh5W3,https://api.spotify.com/v1/tracks/6RlehUBvagbFzhADlLh5W3,https://api.spotify.com/v1/audio-analysis/6RlehUBvagbFzhADlLh5W3,255413,4,RnB,Shawty (feat. T-Pain),,
0.579,0.681,8,-7.103,1,0.127,0.0781,0,0.0523,0.515,145.905,audio_features,7KLDIdonHADIgs5bypuM2G,spotify:track:7KLDIdonHADIgs5bypuM2G,https://api.spotify.com/v1/tracks/7KLDIdonHADIgs5bypuM2G,https://api.spotify.com/v1/audio-analysis/7KLDIdonHADIgs5bypuM2G,253000,4,RnB,Kryptonite (feat. Rich Boy),,
0.699,0.693,1,-6.046,1,0.175,0.275,0,0.619,0.913,172.106,audio_features,5aoABfgyxzfWC1iiO4a9l5,spotify:track:5aoABfgyxzfWC1iiO4a9l5,https://api.spotify.com/v1/tracks/5aoABfgyxzfWC1iiO4a9l5,https://api.spotify.com/v1/audio-analysis/5aoABfgyxzfWC1iiO4a9l5,204040,4,RnB,Sexy Can I feat. Yung Berg,,
0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,audio_features,49FYlytm3dAAraYgpoJZux,spotify:track:49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/tracks/49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/audio-analysis/49FYlytm3dAAraYgpoJZux,275987,4,RnB,Umbrella,,
0.451,0.55,1,-8.137,1,0.262,0.0108,0,0.0737,0.594,160.002,audio_features,2aIdVb8v9KTpEZnftkz2mD,spotify:track:2aIdVb8v9KTpEZnftkz2mD,https://api.spotify.com/v1/tracks/2aIdVb8v9KTpEZnftkz2mD,https://api.spotify.com/v1/audio-analysis/2aIdVb8v9KTpEZnftkz2mD,227960,4,RnB,Buy U a Drank (Shawty Snappin'),,
